author,updated_at,like_count,text,public,language
@ilhampratama5628,2024-01-24T23:35:55Z,0,mencerminkan dedikasi Pertamina dalam memimpin transformasi sektor transportasi Indonesia.,True,id
@liaamalia2341,2024-01-24T23:34:49Z,0,menunjukkan dedikasi Pertamina dalam memimpin transisi menuju masa depan transportasi yang lebih bersih di Indonesia.,True,id
@imamsafei4892,2024-01-24T23:34:29Z,0,Kolaborasi dengan Toyota semakin mempertegas komitmen Pertamina dalam memimpin transisi menuju masa depan transportasi di Indonesia.,True,id
@asriahmad3553,2024-01-24T23:34:10Z,0,Kolaborasi dengan Toyota melalui inisiatif Hydrogen Refueling Energy (HSR) menunjukkan dedikasi Pertamina dalam memimpin transisi menuju masa depan transportasi di Indonesia.,True,id
@kaniaputri7417,2024-01-24T23:33:31Z,0,menunjukkan dedikasi Pertamina dalam memimpin transformasi transportasi di Indonesia.,True,id
@raramuliasari9688,2024-01-24T23:33:01Z,0,Kolaborasi dengan Toyota dalam inisiatif Hydrogen Refueling Energy (HSR) menunjukkan komitmen Pertamina dalam memimpin transformasi transportasi di Indonesia.,True,id
@Sulussiana,2024-01-24T23:01:44Z,0,Inovasi yang luar biasa sih ini,True,id
@newaja831,2024-01-24T16:46:36Z,0,"Makin luar biasa langkahnya, nih! Pertamina siap banget kasih opsi beragam buat transportasi Indo",True,id
@nengine2050,2024-01-24T16:45:17Z,0,beneran ngebuktin keseriusan Pertamina jadi pemimpin perubahan di masa depan transportasi Indo. 🔥,True,id
@pritaangela3731,2024-01-24T14:54:07Z,0,Mantap sekali nih,True,id
@Choco.Vanilatte,2024-01-24T14:51:56Z,0,Jaya selalu pertamina,True,id
@kangjungler8393,2024-01-24T14:22:49Z,0,Maju dan jayalah selalu,True,id
@tantanrustandi5517,2024-01-24T14:21:55Z,0,Support selalu Pertamina,True,id
@mbaaya3333,2024-01-24T13:26:06Z,0,pasti support yang terbaik untuk negara ini,True,id
@alisyakey3661,2024-01-24T13:24:49Z,0,"upaya bagus dari pertamina, semoga berjalan sukses",True,id
@ariwibowo1552,2024-01-24T13:09:28Z,0,mendukung sepenuhnya,True,id
@yuyunernachannel3913,2024-01-24T13:07:33Z,0,berita bagus nih,True,id
@diopermana8425,2024-01-24T08:35:55Z,0,"maaf saya awam, saya hanya berpikir baik fosil fuel maupun hydrogen fuel adalah untuk menggerakan mesin. menurut saya daripada mengubah secara sporadis ekosistem transportasi fosil fuel ke hydrogen fuel, mungkin lebih baik dan lebih menguntungkan mengkonversi PLTDiesel menjadi PLTHydrogen. Rantai bisnis lebih pasti = pasokan hydrogen ada > produksi listrik ada > konsumen listrik ada + net zero emission",True,id
@DWIndonesia,2021-11-15T12:19:28Z,80,"Sahabat DW, apakah kamu pernah dengar perkembangan mesin berbahan bakar hidrogen di Indonesia? Kira-kira mungkin tidak ya digunakan di Indonesia?",True,id
@THOMZVLOG,2024-02-01T14:56:18Z,0,"Hmm hidrogen berarti mengkonsumsi o2 juga ya.. nanti kalo semua mobil jd hidrogen, kita rebutan o2 sm mobil donk..",True,id
@eravid9202,2024-01-30T12:52:53Z,0,"Ngakak... nggak scalable diterapkan... tau gak tekanan hidrogen itu  tinggi banget, tangkinya harus harus harus extra tuebel biar safety... dan ujung2nya muahall bingits di infrastruktur spbu dan unit kendaraannya.. Udah paling bener EV aja untuk saat ini.",True,id
@Rkkaspr,2024-01-29T05:52:01Z,0,"Bensin : Eropa tidak punya gas alam
Listrik : Eropa tidak punya nikel
Sekarang ganti lagi
Oalah man jerman, akal akalan.
Nyatanya negara yang punya SDA gas alam spt Amerika, Australia dll tidak menggebu-gebu ganti BBM seperti di eropa.",True,id
